ORIGEN,DESTINO,CANAL,TIPO,MONTO,CTD_TRX
U-xAbdXCQy,U-LJzjFeou,CANAL_2,TIPO_2,1454.39,2
U-DwedZyiH,U-IsNnBFAL,CANAL_2,TIPO_3,1714.42,2
U-7q9GiVfe,U-vqozkDzJ,CANAL_2,TIPO_2,1516.58,1
U-43ne1RZP,U-HjkgHlqz,CANAL_1,TIPO_1,1276.86,1
U-uAQPBA88,U-2RF9AnfI,CANAL_2,TIPO_2,1560.45,2
U-ZqZKRFkA,U-1b0WPxT5,CANAL_3,TIPO_2,1253.46,1
U-vsCs8Knh,U-mNpAj3dl,CANAL_1,TIPO_1,1729.57,1
U-yw8G9a1w,U-b8v4qy3u,CANAL_1,TIPO_1,1721.62,2
U-mLeUbIHj,U-hgNa9V5P,CANAL_2,TIPO_3,1300.91,2
U-jqpZla72,U-LP9xfUNb,CANAL_3,TIPO_2,1432.22,1
U-BkCVdDA5,U-FmdkIKc3,CANAL_2,TIPO_1,1310.76,1
U-Eh3OO9PT,U-ySIzCeH3,CANAL_1,TIPO_1,1522.77,2
U-Tcr7Heel,U-WmakX7Qj,CANAL_2,TIPO_2,1435.46,1
U-uHnSyuLS,U-80k26Tj9,CANAL_1,TIPO_2,1209.75,1
U-bmyFlo1C,U-8QjYh3Vy,CANAL_1,TIPO_2,1679.05,2
U-u8HDpqLk,U-fkE45W8q,CANAL_1,TIPO_1,1543.13,2
U-RmrRnw1M,U-5tgozFnv,CANAL_2,TIPO_2,1428.39,2
U-bYVZa8Jp,U-vZHm3Nww,CANAL_3,TIPO_1,1570.06,2
U-IhyW7xLm,U-H7l1Bklp,CANAL_1,TIPO_1,1610.11,1
U-Qy76NzuF,U-dNZThpsw,CANAL_3,TIPO_2,1254.27,2
U-48qs0I2N,U-59w7jH4s,CANAL_2,TIPO_1,1354.91,2
U-pdm4C6l0,U-Ji0vzoQX,CANAL_2,TIPO_2,1376.6,2
U-vVxlo9Qf,U-xx3JoLsM,CANAL_3,TIPO_2,1179.76,1
U-c3Ay7Z6Y,U-EuN7Z3ca,CANAL_2,TIPO_2,1549.22,2
U-AkN3ibqb,U-qqz15vnY,CANAL_2,TIPO_2,1772.32,1
U-abj3x2rU,U-JYVsJ3Vj,CANAL_2,TIPO_2,1260.68,2
U-9waRnzLv,U-HNcMmoYO,CANAL_2,TIPO_2,1429.33,1
U-oYqiqFlH,U-Dc1ERwY1,CANAL_1,TIPO_2,1333.65,2
U-OOoijxUA,U-ZLf8hkW8,CANAL_1,TIPO_1,1655.32,1
U-UXHfz6FA,U-toZgtv7r,CANAL_3,TIPO_2,1493.73,2
U-Ia5cG6UD,U-HjkgHlqz,CANAL_2,TIPO_2,1584.89,1
U-UXaIy0Xp,U-BNSAFxgQ,CANAL_2,TIPO_1,1493.04,2
U-w9VSf2LW,U-4jaYZu3h,CANAL_2,TIPO_1,1498.68,2
U-NVqyth8x,U-Vpx798NV,CANAL_3,TIPO_1,1670.47,2
U-c2i1WxDa,U-M6h9JADM,CANAL_1,TIPO_2,1520.94,2
U-Ji0vzoQX,U-kg5LwCJ2,CANAL_1,TIPO_1,1554.52,2
U-zBWkJctg,U-81DavNlA,CANAL_2,TIPO_2,1546.1,1
U-VwKu0kG3,U-uAQPBA88,CANAL_3,TIPO_1,1436.92,1
U-kVgFAcAN,U-Uh9PPxs0,CANAL_1,TIPO_2,1366.43,1
U-4eMHxHHf,U-TFtaiURq,CANAL_2,TIPO_2,1706.22,1
U-faRoCb6k,U-szBavkZE,CANAL_2,TIPO_2,1557.49,1
U-6vM8s5Gx,U-DFhYIMjH,CANAL_3,TIPO_2,1466.16,1
U-faRoCb6k,U-gv11Ljiz,CANAL_3,TIPO_1,1428.94,1
U-F5krE6pp,U-YJO4ocjz,CANAL_3,TIPO_1,1517.29,2
U-js1Bzome,U-rSAmsvAv,CANAL_1,TIPO_2,1492.52,2
U-XJvU8Nvq,U-WipKU5tr,CANAL_2,TIPO_2,1380.17,1
U-TNeJog8e,U-s3CauRrJ,CANAL_3,TIPO_3,1348.41,2
U-wYfAlpGs,U-pHk9yK6T,CANAL_2,TIPO_1,1383.97,1
U-VIuT91KM,U-z8iCX4H9,CANAL_1,TIPO_2,1375.73,1
U-WikYNG9L,U-a8TAKjQz,CANAL_3,TIPO_3,1342.99,1
U-Y54clM4E,U-fwCOr1AT,CANAL_2,TIPO_2,1294.39,1
U-1VR21qxZ,U-2YnapuZh,CANAL_2,TIPO_2,1476.76,2
U-e76Kh4Xq,U-xQ3LOruT,CANAL_2,TIPO_1,1779.02,1
U-MZT5ePvz,U-a8TAKjQz,CANAL_1,TIPO_2,1362.82,1
U-5ScY23tw,U-zBWkJctg,CANAL_1,TIPO_1,1485.06,2
U-EpFhA8Hy,U-AViIwVZ0,CANAL_1,TIPO_3,1298.92,1
U-MmJzAg6w,U-rNLp73cq,CANAL_2,TIPO_3,1440.74,2
U-2vFlZ3w6,U-C5i00kRX,CANAL_2,TIPO_2,1673.74,1
U-5tgozFnv,U-ePAAjcaa,CANAL_3,TIPO_1,1639.17,1
U-UJuaU7dz,U-oCzSju53,CANAL_2,TIPO_2,1229.22,1
U-zBWkJctg,U-pa0am74j,CANAL_2,TIPO_3,1426.32,1
U-rqo7NEcr,U-IgXbkoxf,CANAL_1,TIPO_2,1370.3,2
U-SfPe47Za,U-0nTmepKK,CANAL_2,TIPO_1,1448.25,2
U-11w9SZWp,U-CFAoLQAs,CANAL_2,TIPO_2,1296.37,1
U-aGph3yZY,U-5tgozFnv,CANAL_1,TIPO_3,1580.11,1
U-Usa8Vtnl,U-Usa8Vtnl,CANAL_3,TIPO_2,1546.87,2
U-F1YgxSnP,U-0K3kGnU9,CANAL_1,TIPO_3,1397.51,2
U-DR11ujDf,U-WYof6e9w,CANAL_2,TIPO_2,1244.86,2
U-iZPiAMUJ,U-RmTHfh1e,CANAL_2,TIPO_2,1386.67,1
U-c2VjZrM3,U-ASIfncFz,CANAL_2,TIPO_2,1610.3,2
U-ifPA3j6y,U-6FY12g1N,CANAL_1,TIPO_2,1701.15,1
U-rqo7NEcr,U-YSDKmstk,CANAL_1,TIPO_2,1276.18,2
U-A1MQHAXT,U-Yu5vzRIA,CANAL_1,TIPO_3,1619.95,1
U-h9eWqAOj,U-l0ryTmyx,CANAL_1,TIPO_1,1173.88,2
U-reWSuZRz,U-zgvt6zSX,CANAL_2,TIPO_2,1700.81,2
U-fghmCLCu,U-dC9zmdfK,CANAL_1,TIPO_2,1565.36,1
U-FluYfYwR,U-9waRnzLv,CANAL_2,TIPO_1,1443.19,2
U-Z6YSbrf7,U-2wsClCGp,CANAL_3,TIPO_3,1469.46,2
U-DtfcTnzM,U-fkE45W8q,CANAL_1,TIPO_1,1495.93,1
U-YjaQMWAX,U-8X1OEmaC,CANAL_1,TIPO_2,1686.69,2
U-X0Z2MrpO,U-lglRpQcb,CANAL_2,TIPO_2,1639.57,1
U-VwKu0kG3,U-ZiPMtk9G,CANAL_3,TIPO_1,1631.35,2
U-YUg3yql3,U-M6h9JADM,CANAL_1,TIPO_2,1355.73,2
U-SfXBIsdV,U-SRDxPN2j,CANAL_2,TIPO_2,1523.36,1
U-aVjjbiZy,U-OsOtR7fX,CANAL_1,TIPO_2,1703.95,1
U-SEodqnbR,U-D2G2W3PU,CANAL_3,TIPO_1,1484.12,1
U-O5nduBT1,U-aaTTyyks,CANAL_1,TIPO_2,1517.52,1
U-9QSSGpU3,U-6GIdOwRk,CANAL_2,TIPO_1,1770.09,2
U-mTiXrOqz,U-aaTTyyks,CANAL_2,TIPO_3,1585.62,1
U-j41jEmVc,U-0ivyTZxn,CANAL_2,TIPO_1,1433.67,2
U-FFZPFdYv,U-ronKO0Sg,CANAL_2,TIPO_2,1345.53,1
U-Z8mTkoLS,U-7AADwlId,CANAL_1,TIPO_1,1432.65,2
U-ebVEMneM,U-C3xpOOHM,CANAL_1,TIPO_2,1612.0,1
U-9SWJLnoq,U-0Sneir3J,CANAL_2,TIPO_1,1430.98,1
U-Sfjopalg,U-tGlYv3eH,CANAL_2,TIPO_1,1625.61,1
U-gGHhQyg0,U-hPXKxanZ,CANAL_1,TIPO_2,1451.66,2
U-ySQ2K6rx,U-P5iOVMul,CANAL_2,TIPO_3,1727.25,2
U-8IoeqENF,U-35f8nhjH,CANAL_2,TIPO_1,1297.06,1
U-ALQHWLco,U-EOwKW4Fv,CANAL_2,TIPO_1,1789.62,1
U-AgyPNHXd,U-jwimgORo,CANAL_2,TIPO_2,1346.84,2
U-XPRMgHMz,U-0WDDEoTK,CANAL_2,TIPO_2,1363.97,1
U-fn4quCbY,U-4HK4mJUj,CANAL_2,TIPO_1,1674.86,1
U-Rn6yvZoz,U-3C5nu1Rx,CANAL_2,TIPO_2,1670.0,1
U-WNXuGfaK,U-uZW09IXL,CANAL_3,TIPO_2,1277.96,1
U-iAnqTGJj,U-vGDGgKER,CANAL_3,TIPO_2,1441.64,1
U-hPXKxanZ,U-GA6T42Oj,CANAL_1,TIPO_2,1478.56,2
U-8IoeqENF,U-qtyeHw20,CANAL_1,TIPO_2,1630.86,2
U-GMB4m3SN,U-oDUaYYng,CANAL_1,TIPO_1,1654.73,2
U-wNAJfLEi,U-48qs0I2N,CANAL_3,TIPO_2,1480.72,1
U-dkSmZfC7,U-0JmajXCr,CANAL_1,TIPO_1,1682.84,1
U-AgeZSZmp,U-ZcORb9Hs,CANAL_2,TIPO_2,1272.39,2
U-6p8aw9Ls,U-mLzdZtU8,CANAL_2,TIPO_1,1460.64,2
U-SaoOlCOk,U-JYmel6wv,CANAL_1,TIPO_2,1456.08,2
U-jXQdWHTP,U-eggwAHxr,CANAL_3,TIPO_1,1331.58,1
U-5q3iEcos,U-0jdFE49g,CANAL_2,TIPO_3,1538.94,1
U-bYVZa8Jp,U-l9D2R27C,CANAL_3,TIPO_1,1381.55,1
U-OTPvTbVQ,U-77fZi5wv,CANAL_2,TIPO_3,1319.59,2
U-77fZi5wv,U-3ZYgIZkW,CANAL_2,TIPO_2,1706.85,1
U-e0YpVcmb,U-5FyI7B6M,CANAL_1,TIPO_3,1757.91,1
U-OWp1uW7W,U-0oiOK2sG,CANAL_1,TIPO_2,1222.66,2
U-3Fl8evPT,U-KcvZgBNo,CANAL_2,TIPO_3,1620.39,1
U-6FY12g1N,U-ib79O7QQ,CANAL_2,TIPO_2,1760.16,1
U-5ScY23tw,U-WQ8F3Uu0,CANAL_1,TIPO_1,1323.93,2
U-ZqZKRFkA,U-HZ5hMYoi,CANAL_2,TIPO_2,1450.77,2
U-AgeZSZmp,U-qR4AmHJx,CANAL_2,TIPO_3,1618.33,1
U-ad4sbNUE,U-wt7vL0AL,CANAL_2,TIPO_1,1471.18,1
U-0pnr8Ie1,U-dVXWm1pw,CANAL_2,TIPO_2,1299.4,1
U-ZAk2uzOF,U-ikTDGQCV,CANAL_2,TIPO_2,1745.28,1
U-hYWsTWg9,U-ocZIx9iz,CANAL_1,TIPO_2,1343.33,2
U-cZDAaOdX,U-ZfKE0r0Y,CANAL_3,TIPO_3,1700.3,1
U-gKUeS0yK,U-EzDK0he7,CANAL_2,TIPO_2,1407.07,1
U-59w7jH4s,U-7ZY7qtzU,CANAL_2,TIPO_2,1600.08,2
U-Hymv3iNg,U-pFpFIt1C,CANAL_3,TIPO_2,1424.08,1
U-kl5oHqCf,U-Gw73qkAA,CANAL_1,TIPO_3,1473.63,1
U-Z6YSbrf7,U-YoroPw6W,CANAL_1,TIPO_2,1498.27,2
U-Sfjopalg,U-uHnSyuLS,CANAL_2,TIPO_1,1408.42,2
U-OW0QyzcB,U-lpYZbGYu,CANAL_1,TIPO_3,1649.9,2
U-WNXuGfaK,U-Z3jinMLD,CANAL_2,TIPO_1,1314.32,1
U-3chPvg6y,U-mLzdZtU8,CANAL_2,TIPO_3,1714.11,2
U-gGHhQyg0,U-cJo7i3AJ,CANAL_1,TIPO_2,1351.0,1
U-YJL3rXfb,U-HjkgHlqz,CANAL_1,TIPO_2,1290.38,2
U-rrw2CUcE,U-6p8aw9Ls,CANAL_2,TIPO_1,1392.06,1
U-XVGWIyfu,U-J6FZ48Qm,CANAL_1,TIPO_2,1683.8,2
U-aq2MCWaw,U-tpQMaX45,CANAL_3,TIPO_3,1474.13,2
U-hgNa9V5P,U-e4cYNgCJ,CANAL_1,TIPO_2,1740.24,1
U-pSsZx7dO,U-fmXoepkC,CANAL_2,TIPO_1,1253.06,1
U-YFpwxqyC,U-7QFJYRLl,CANAL_1,TIPO_3,1458.78,1
U-MdWb1lNX,U-zpaB4dbF,CANAL_1,TIPO_2,1818.69,2
U-ATlCimSw,U-wEfroe14,CANAL_3,TIPO_2,1588.92,1
U-zUc3Pj2L,U-JU9cjlHs,CANAL_2,TIPO_1,1562.45,1
U-yLL4IZUT,U-tkVFPbr8,CANAL_2,TIPO_2,1472.67,2
U-Vpx798NV,U-tAljLFXA,CANAL_2,TIPO_2,1706.22,1
U-vqozkDzJ,U-H7l1Bklp,CANAL_3,TIPO_2,1537.4,2
U-Rg7Hp1tp,U-YOpC811k,CANAL_1,TIPO_1,1212.26,2
U-mLzdZtU8,U-uuSqMrIG,CANAL_1,TIPO_3,1350.87,2
U-XJvU8Nvq,U-lmGRHXjy,CANAL_1,TIPO_3,1337.73,2
U-KFn2WxIV,U-Dt9ll29v,CANAL_2,TIPO_1,1433.8,2
U-J6FZ48Qm,U-iy9CN8v7,CANAL_1,TIPO_2,1522.27,2
U-aGph3yZY,U-0M0ANZND,CANAL_2,TIPO_2,1479.53,1
U-frJkIOrX,U-kjwJUfHx,CANAL_1,TIPO_2,1681.49,2
U-MALbvJPQ,U-8bfsffkS,CANAL_1,TIPO_3,1365.72,1
U-xwLReiAi,U-PTUCwo2A,CANAL_1,TIPO_1,1495.16,2
U-WmakX7Qj,U-fToUDGCG,CANAL_2,TIPO_1,1477.61,2
U-syQAKuXR,U-uOnApxws,CANAL_2,TIPO_2,1440.06,2
U-DjIIcPMZ,U-5E6mnuPe,CANAL_3,TIPO_2,1542.58,2
U-VgZUS8Pl,U-KhZ8YBgG,CANAL_1,TIPO_3,1628.01,1
U-mLeUbIHj,U-9sZI7ED4,CANAL_1,TIPO_3,1464.09,1
U-Cus6XDc4,U-IRF07N8X,CANAL_1,TIPO_3,1701.17,2
U-d15vo0WY,U-kAXqJMOd,CANAL_1,TIPO_1,1722.51,2
U-FbgbaIGj,U-TdFRT7EO,CANAL_2,TIPO_2,1325.33,1
U-me0GCYoA,U-BFlHVuQ6,CANAL_1,TIPO_2,1456.76,2
U-U32c3UiS,U-FluYfYwR,CANAL_3,TIPO_2,1292.14,1
U-8dtNYYiK,U-o4XlMSqx,CANAL_2,TIPO_1,1637.09,2
U-H8JdbC2r,U-BRCJY83v,CANAL_3,TIPO_2,1318.54,2
U-UvvaofE3,U-22IESsMk,CANAL_2,TIPO_1,1295.52,2
U-oYGyd5c1,U-JznVy3yf,CANAL_1,TIPO_3,1342.04,1
U-94fl1e5E,U-n7rS1l8A,CANAL_2,TIPO_2,1538.83,1
U-xwLReiAi,U-iwoYTvc6,CANAL_2,TIPO_1,1363.59,1
U-UDUSybMg,U-71ufBHMS,CANAL_1,TIPO_2,1343.73,1
U-RwABvMbU,U-D2G2W3PU,CANAL_2,TIPO_2,1378.53,2
U-J9yJLbq2,U-xZ0gophb,CANAL_1,TIPO_2,1675.75,1
U-784wxe2J,U-vh20ZAgb,CANAL_3,TIPO_1,1524.52,2
U-M3k4j5tA,U-SpApRFQb,CANAL_2,TIPO_1,1503.96,1
U-YmZw05iz,U-AgyPNHXd,CANAL_2,TIPO_2,1293.64,1
U-A1MQHAXT,U-SaoOlCOk,CANAL_3,TIPO_3,1649.58,2
U-EuN7Z3ca,U-i6qVi0za,CANAL_2,TIPO_2,1176.93,1
U-GoTW3eWp,U-PRwzcybp,CANAL_1,TIPO_2,1714.72,2
U-DwedZyiH,U-pqLgrZwV,CANAL_1,TIPO_2,1133.35,2
U-aEkTmuwI,U-kxC2iCSf,CANAL_3,TIPO_2,1332.4,1
U-IgFmHGH6,U-N6KR2rHd,CANAL_1,TIPO_3,1535.26,2
U-5hsNbxkh,U-LInsajqt,CANAL_3,TIPO_2,1792.51,1
U-Kzii6l0b,U-kE3W7Pmr,CANAL_1,TIPO_2,1316.36,2
U-Afyqoh0u,U-67vZZNfh,CANAL_1,TIPO_2,1248.81,1
U-XJvU8Nvq,U-Z8mTkoLS,CANAL_3,TIPO_2,1478.48,2
U-6OXdd72k,U-J9yJLbq2,CANAL_3,TIPO_1,1423.15,1
U-kuDCvkRy,U-Ia5cG6UD,CANAL_3,TIPO_3,1361.92,2
U-AmzosWz8,U-22Zsshfy,CANAL_2,TIPO_3,1407.62,1
U-zgyH16Xd,U-RmrRnw1M,CANAL_2,TIPO_1,1299.59,2
U-aM1tNqXT,U-sSALCPGD,CANAL_1,TIPO_2,1495.45,1
U-xCAdLye0,U-8x02IK9H,CANAL_1,TIPO_2,1459.94,1
U-MINSzKYA,U-UXHfz6FA,CANAL_1,TIPO_1,1496.38,1
U-eisEjgg9,U-xWxt5Dnw,CANAL_3,TIPO_3,1255.27,2
U-MVxBsDJk,U-1b0WPxT5,CANAL_1,TIPO_2,1492.1,1
U-LR1S9j5r,U-jOsMLmzP,CANAL_1,TIPO_1,1646.3,2
U-2waDTEtC,U-X0Z2MrpO,CANAL_2,TIPO_1,1262.09,2
U-ASIfncFz,U-xG022dap,CANAL_3,TIPO_2,1561.08,2
U-1u9FYers,U-bmHD1e1y,CANAL_2,TIPO_3,1722.97,1
U-N6KR2rHd,U-2P6SabVJ,CANAL_3,TIPO_2,1254.63,1
U-PVyovS1Q,U-EIqeUoCK,CANAL_1,TIPO_3,1505.8,1
U-Pom2Qri3,U-9QSSGpU3,CANAL_2,TIPO_1,1575.72,1
U-Tcr7Heel,U-zBWkJctg,CANAL_1,TIPO_2,1474.58,1
U-ltAUhoL1,U-LNbESZpR,CANAL_1,TIPO_2,1660.18,1
U-H0bgMGVR,U-wJuMT0yc,CANAL_1,TIPO_3,1474.68,1
U-KDtfnvC7,U-vQr8EuFq,CANAL_2,TIPO_2,1478.02,2
U-X1Njp1mq,U-VZFZfGwn,CANAL_1,TIPO_1,1390.91,2
U-i8szQRYG,U-k8wvV6J2,CANAL_2,TIPO_2,1612.19,1
U-AFPHMNkp,U-x30IurBV,CANAL_2,TIPO_3,1781.38,2
U-tXuvaPMV,U-fToUDGCG,CANAL_1,TIPO_1,1399.48,1
U-br9F0xbY,U-dVXWm1pw,CANAL_2,TIPO_2,1411.01,1
U-tFgeOYxr,U-EzDK0he7,CANAL_1,TIPO_2,1545.21,2
U-n3tjMktA,U-XPGnhNap,CANAL_2,TIPO_2,1655.78,2
U-0Sneir3J,U-BkCVdDA5,CANAL_1,TIPO_1,1322.04,1
U-48qs0I2N,U-0CBzyskp,CANAL_2,TIPO_2,1722.66,2
U-ikqwGXYR,U-6FY12g1N,CANAL_3,TIPO_3,1384.27,1
U-6a802h1z,U-Ji0vzoQX,CANAL_1,TIPO_2,1671.3,1
U-fw9Hs8VU,U-iZPiAMUJ,CANAL_1,TIPO_2,1486.66,1
U-6vBOB361,U-3Ge5N3DX,CANAL_1,TIPO_2,1797.47,2
U-LL22HKBz,U-dcuMdLQG,CANAL_2,TIPO_2,1547.58,2
U-w77CMNwV,U-HjPLHzuX,CANAL_2,TIPO_2,1409.95,2
U-R0u567TJ,U-AGrY7dsi,CANAL_2,TIPO_3,1261.13,1
U-kgT7TPLw,U-RjuyHmSy,CANAL_2,TIPO_3,1334.43,2
U-PAVdVZ6e,U-k01P4c9F,CANAL_1,TIPO_2,1645.11,1
U-2Lsuaa7w,U-TDDn86fv,CANAL_3,TIPO_3,1486.71,1
U-Zg0Q9Tey,U-S9IG0vOb,CANAL_1,TIPO_2,1596.21,2
U-OzRy57mo,U-hPXKxanZ,CANAL_3,TIPO_3,1172.58,1
U-EIqeUoCK,U-cEJiJHwu,CANAL_1,TIPO_2,1548.69,1
U-4rUAHoWt,U-ET4wVqew,CANAL_3,TIPO_3,1642.89,2
U-tT7l49Lp,U-FxoEQZKu,CANAL_2,TIPO_1,1406.72,2
U-zxmUM3jY,U-2XmcLAXp,CANAL_2,TIPO_1,1321.41,2
U-AGrY7dsi,U-dC9zmdfK,CANAL_1,TIPO_2,1507.56,2
U-3HrPC4k3,U-3Ge5N3DX,CANAL_2,TIPO_1,1512.74,1
U-laVkYx3Z,U-YoZHV0nC,CANAL_3,TIPO_3,1676.98,1
U-CJcJoZvU,U-5ciyB5XW,CANAL_3,TIPO_3,1568.06,1
U-A1MQHAXT,U-0M0ANZND,CANAL_2,TIPO_2,1356.37,2
U-AFPHMNkp,U-KHyaH8ga,CANAL_2,TIPO_2,1351.56,2
U-bVVvhGiM,U-g0Z2TJIv,CANAL_1,TIPO_3,1502.0,1
U-m4XM7yVm,U-vh20ZAgb,CANAL_2,TIPO_1,1715.91,1
U-1QgvlDWO,U-szBavkZE,CANAL_2,TIPO_2,1537.75,2
U-FxoEQZKu,U-TsIsfZLk,CANAL_2,TIPO_1,1529.9,2
U-6WPXBvAZ,U-iO84CkAR,CANAL_2,TIPO_1,1480.9,1
U-xG022dap,U-0pnr8Ie1,CANAL_3,TIPO_2,1605.18,2
U-1b0WPxT5,U-zBWkJctg,CANAL_3,TIPO_3,1605.13,1
U-vUOvqTOJ,U-Rn6yvZoz,CANAL_1,TIPO_2,1786.76,1
U-v5EXcNjH,U-iWn15JtZ,CANAL_2,TIPO_2,1472.49,1
U-kAXqJMOd,U-Y0LB8ubJ,CANAL_1,TIPO_2,1390.56,2
U-5Ri5vBEY,U-qBm0atOA,CANAL_2,TIPO_2,1354.67,1
U-Zg0Q9Tey,U-toZgtv7r,CANAL_1,TIPO_2,1573.23,2
U-oYqiqFlH,U-IpLAu8xT,CANAL_2,TIPO_2,1264.38,2
U-4ENkFDOM,U-lBx2yl4Q,CANAL_1,TIPO_2,1466.3,2
U-bQZ0xmZ7,U-356CrTZG,CANAL_1,TIPO_3,1469.31,1
U-jBG4kJ7a,U-NXGVXtpD,CANAL_2,TIPO_2,1440.61,2
U-erdQbyWB,U-e76Kh4Xq,CANAL_2,TIPO_2,1364.92,2
U-hSe9N84I,U-qZw0j1Gk,CANAL_1,TIPO_3,1506.16,2
U-JfMUY2LK,U-PXVkR8kg,CANAL_3,TIPO_2,1555.0,1
U-cqZhkYY2,U-ZAk2uzOF,CANAL_1,TIPO_2,1627.64,1
U-ASIfncFz,U-xWxt5Dnw,CANAL_1,TIPO_1,1063.5,2
U-ncilCdpX,U-tGlYv3eH,CANAL_2,TIPO_2,1437.19,1
U-yGfxzgHt,U-psNC9QdA,CANAL_2,TIPO_1,1379.49,1
U-35f8nhjH,U-AREV7DKR,CANAL_2,TIPO_1,1755.99,1
U-Eb1cQkrm,U-8x02IK9H,CANAL_2,TIPO_2,1489.39,2
U-Eh3OO9PT,U-M8mgBCDq,CANAL_2,TIPO_3,1582.68,2
U-qs3Y8CuC,U-RzZ9WwYV,CANAL_2,TIPO_1,1556.92,2
U-1BwTM4yH,U-Ux9Bihin,CANAL_3,TIPO_3,1602.19,1
U-h65vWmdp,U-vZt2rMlu,CANAL_2,TIPO_2,1595.84,1
U-gdvU1zgI,U-JFuBic0G,CANAL_3,TIPO_1,1304.24,1
U-EBTF3g0f,U-eDArVHpN,CANAL_1,TIPO_2,1389.35,1
U-k1KD6abK,U-xWUvgf1s,CANAL_1,TIPO_1,1583.21,1
U-0CBzyskp,U-sROdFbsJ,CANAL_2,TIPO_3,1527.59,1
U-relnnekg,U-lmGRHXjy,CANAL_1,TIPO_1,1403.31,1
U-16q4IWDU,U-coJUpNOt,CANAL_2,TIPO_3,1310.13,1
U-FRIckt8n,U-br9F0xbY,CANAL_2,TIPO_3,1417.84,1
U-krZcvDaK,U-DlOpXx9Z,CANAL_3,TIPO_3,1601.21,2
U-khoZs3zM,U-I9CL1n7F,CANAL_2,TIPO_3,1523.06,2
U-0wNppjb2,U-ct91nnch,CANAL_3,TIPO_3,1347.59,2
U-kuDCvkRy,U-RjuyHmSy,CANAL_1,TIPO_1,1383.32,2
U-EtG4yyUD,U-XHx3peWf,CANAL_2,TIPO_2,1751.67,1
U-DNU5xg0a,U-XJvU8Nvq,CANAL_2,TIPO_2,1429.4,1
U-dmTSKvTt,U-VwKu0kG3,CANAL_1,TIPO_3,1615.7,1
U-5rQuOFg2,U-CeQxBqfl,CANAL_2,TIPO_2,1537.55,2
U-k1KD6abK,U-MofLtDng,CANAL_2,TIPO_2,1397.79,1
U-ikqwGXYR,U-bYVZa8Jp,CANAL_1,TIPO_2,1464.2,1
U-arEFPU7R,U-m7K1wzkz,CANAL_1,TIPO_1,1583.29,2
U-egN1f1Wu,U-dNZThpsw,CANAL_2,TIPO_3,1496.71,2
U-HsCPZ8aF,U-JznVy3yf,CANAL_2,TIPO_3,1470.05,1
